Opt,Control Point,Network ID,Type of Services,Current Status
,,*NETATR
,ADMIN,APPN,Primary,Never active
,ADMIN2,APPN,Primary,Never active
,CBL0011,APPN,Primary,Never active
,QSM,APPN,Primary,Never active
,STEVEN,APPN,Primary,Never active
